"ID","Description","Published","Solved By","Solve Status"
599,"Distinct Colourings of a Rubik's Cube",1492257600,325,0
600,"Integer Sided Equiangular Hexagons",1492873200,645,0
601,"Divisibility Streaks",1493488800,2162,0
602,"Product of Head Counts",1494104400,526,0
603,"Substring Sums of Prime Concatenations",1494720000,455,0
604,"Convex Path in Square",1495335600,533,0
605,"Pairwise Coin-Tossing Game",1495951200,889,0
606,"Gozinta Chains II",1496566800,399,0
607,"Marsh Crossing",1497096000,1788,0
608,"Divisor Sums",1497711600,320,0
609,"$\pi$ Sequences",1504969200,983,0
610,"Roman Numerals II",1506189600,606,0
611,"Hallway of Square Steps",1507410000,351,0
612,"Friend Numbers",1508630400,715,0
613,"Pythagorean Ant",1509854400,1892,0
614,"Special Partitions 2",1511074800,321,0
615,"The Millionth Number with at Least One Million Prime Factors",1512295200,615,0
616,"Creative Numbers",1513429200,504,0
617,"Mirror Power Sequence",1514649600,395,0
618,"Numbers with a Given Prime Factor Sum",1515870000,1099,0
619,"Square Subsets",1517090400,422,0
620,"Planetary Gears",1518310800,179,0
621,"Expressing an Integer as the Sum of Triangular Numbers",1519531200,583,0
622,"Riffle Shuffles",1520751600,1829,0
623,"Lambda Count",1521968400,331,0
624,"Two Heads Are Better Than One",1523102400,666,0
625,"Gcd Sum",1524322800,658,0
626,"Counting Binary Matrices",1525543200,235,0
627,"Counting Products",1526763600,253,0
628,"Open Chess Positions",1527984000,835,0
629,"Scatterstone Nim",1529204400,255,0
630,"Crossed Lines",1530424800,1065,0
631,"Constrained Permutations",1531645200,200,0
632,"Square Prime Factors",1532779200,506,0
633,"Square Prime Factors II",1532779200,335,0
634,"Numbers of the Form $a^2b^3$",1533999600,650,0
635,"Subset Sums",1535220000,364,0
636,"Restricted Factorisations",1536440400,202,0
637,"Flexible Digit Sum",1537660800,340,0
638,"Weighted Lattice Paths",1538881200,398,0
639,"Summing a Multiplicative Function",1540101600,279,0
640,"Shut the Box",1540720800,380,0
641,"A Long Row of Dice",1541250000,522,0
642,"Sum of Largest Prime Factors",1541865600,377,0
643,"$2$-Friendly",1542481200,642,0
644,"Squares on the Line",1543096800,171,0
645,"Every Day Is a Holiday",1543712400,221,0
646,"Bounded Divisors",1544328000,297,0
647,"Linear Transformations of Polygonal Numbers",1544943600,458,0
648,"Skipping Squares",1545559200,300,0
649,"Low-Prime Chessboard Nim",1546088400,433,0
650,"Divisors of Binomial Product",1546704000,1738,0
651,"Patterned Cylinders",1547319600,183,0
652,"Distinct Values of a Proto-logarithmic Function",1547935200,181,0
653,"Frictionless Tube",1548550800,333,0
654,"Neighbourly Constraints",1549166400,365,0
655,"Divisible Palindromes",1549782000,559,0
656,"Palindromic Sequences",1550397600,257,0
657,"Incomplete Words",1550926800,578,0
658,"Incomplete Words II",1550926800,255,0
659,"Largest Prime",1551542400,997,0
660,"Pandigital Triangles",1552158000,320,0
661,"A Long Chess Match",1552773600,238,0
662,"Fibonacci Paths",1553389200,841,0
663,"Sums of Subarrays",1554001200,375,0
664,"An Infinite Game",1554616800,200,0
665,"Proportionate Nim",1555232400,263,0
666,"Polymorphic Bacteria",1555761600,302,0
667,"Moving Pentagon",1556377200,205,0
668,"Square Root Smooth Numbers",1556992800,1105,0
669,"The King's Banquet",1557608400,330,0
670,"Colouring a Strip",1558224000,355,0
671,"Colouring a Loop",1558224000,183,0
672,"One More One",1558839600,280,0
673,"Beds and Desks",1559455200,330,0
674,"Solving $\mathcal{I}$-equations",1560070800,182,0
675,"$2^{\omega(n)}$",1560600000,783,0
676,"Matching Digit Sums",1561215600,242,0
677,"Coloured Graphs",1561831200,187,0
678,"Fermat-like Equations",1567890000,251,0
679,"Freefarea",1568505600,912,0
680,"Yarra Gnisrever",1569121200,197,0
681,"Maximal Area",1569736800,241,0
682,"$5$-Smooth Pairs",1570352400,280,0
683,"The Chase II",1570881600,337,0
684,"Inverse Digit Sum",1571497200,2811,0
685,"Inverse Digit Sum II",1571497200,212,0
686,"Powers of Two",1572112800,3594,0
687,"Shuffling Cards",1572732000,323,0
688,"Piles of Plates",1573347600,790,0
689,"Binary Series",1573963200,238,0
690,"Tom and Jerry",1574578800,219,0
691,"Long Substring with Many Repetitions",1575194400,282,0
692,"Siegbert and Jo",1575723600,1376,0
693,"Finite Sequence Generator",1576339200,299,0
694,"Cube-full Divisors",1576954800,1042,0
695,"Random Rectangles",1577570400,219,0
696,"Mahjong",1578186000,183,0
697,"Randomly Decaying Sequence",1578801600,597,0
698,"123 Numbers",1579417200,457,0
699,"Triffle Numbers",1580032800,197,0
700,"Eulercoin",1580562000,3494,0
701,"Random Connected Area",1581177600,364,0
702,"Jumping Flea",1581793200,169,0
703,"Circular Logic II",1582408800,327,0
704,"Factors of Two in Binomial Coefficients",1583024400,961,0
705,"Total Inversion Count of Divided Sequences",1583640000,449,0
706,"$3$-Like Numbers",1584255600,581,0
707,"Lights Out",1584871200,241,0
708,"Twos Are All You Need",1585400400,326,0
709,"Even Stevens",1586016000,888,0
710,"One Million Members",1586631600,1283,0
711,"Binary Blackboard",1586631600,337,0
712,"Exponent Difference",1587247200,510,0
713,"Turán's Water Heating System",1587862800,725,0
714,"Duodigits",1588478400,736,0
715,"Sextuplet Norms",1589094000,203,0
716,"Grid Graphs",1589709600,237,0
717,"Summation of a Modular Formula",1590238800,508,0
718,"Unreachable Numbers",1590854400,343,0
719,"Number Splitting",1591470000,3866,0
720,"Unpredictable Permutations",1592085600,311,0
721,"High Powers of Irrational Numbers",1592701200,430,0
722,"Slowly Converging Series",1593316800,528,0
723,"Pythagorean Quadrilaterals",1593932400,189,0
724,"Drone Delivery",1599310800,403,0
725,"Digit Sum Numbers",1599926400,1095,0
726,"Falling Bottles",1600542000,204,0
727,"Triangle of Circular Arcs",1601157600,521,0
728,"Circle of Coins",1601773200,288,0
729,"Range of Periodic Sequence",1602388800,175,0
730,"Shifted Pythagorean Triples",1603004400,187,0
731,"A Stoneham Number",1603620000,568,0
732,"Standing on the Shoulders of Trolls",1604149200,217,0
733,"Ascending Subsequences",1604764800,472,0
734,"A Bit of Prime",1605380400,333,0
735,"Divisors of $2n^2$",1605996000,222,0
736,"Paths to Equality",1606611600,234,0
737,"Coin Loops",1607227200,367,0
738,"Counting Ordered Factorisations",1607842800,283,0
739,"Summation of Summations",1608458400,514,0
740,"Secret Santa",1608987600,209,0
741,"Binary Grid Colouring",1609603200,159,0
742,"Minimum Area of a Convex Grid Polygon",1610218800,165,0
743,"Window into a Matrix",1610834400,1172,0
744,"What? Where? When?",1611450000,308,0
745,"Sum of Squares II",1612065600,1178,0
746,"A Messy Dinner",1612681200,283,0
747,"Triangular Pizza",1613296800,202,0
748,"Upside Down Diophantine Equation",1613826000,309,0
749,"Near Power Sums",1614441600,708,0
750,"Optimal Card Stacking",1615057200,324,0
751,"Concatenation Coincidence",1615672800,2282,0
752,"Powers of $1+\sqrt 7$",1616288400,651,0
753,"Fermat Equation",1616904000,398,0
754,"Product of Gauss Factorials",1617519600,707,0
755,"Not Zeckendorf",1618740000,862,0
756,"Approximating a Sum",1619874000,333,0
757,"Stealthy Numbers",1621094400,1193,0
758,"Buckets of Water",1622314800,225,0
759,"A Squared Recurrence Relation",1623535200,543,0
760,"Sum over Bitwise Operators",1624755600,423,0
761,"Runner and Swimmer",1625976000,157,0
762,"Amoebas in a 2D Grid",1630760400,208,0
763,"Amoebas in a 3D Grid",1630760400,127,0
764,"Asymmetric Diophantine Equation",1631376000,362,0
765,"Trillionaire",1631991600,220,0
766,"Sliding Block Puzzle",1633212000,323,0
767,"Window into a Matrix II",1633827600,174,0
768,"Chandelier",1634443200,172,0
769,"Binary Quadratic Form II",1635055200,142,0
770,"Delphi Flip",1635674400,502,0
771,"Pseudo Geometric Sequences",1636203600,132,0
772,"Balanceable $k$-bounded Partitions",1636819200,494,0
773,"Ruff Numbers",1637434800,201,0
774,"Conjunctive Sequences",1638050400,137,0
775,"Saving Paper",1638666000,244,0
776,"Digit Sum Division",1639281600,539,0
777,"Lissajous Curves",1639897200,125,0
778,"Freshman's Product",1640512800,400,0
779,"Prime Factor and Exponent",1641042000,476,0
780,"Toriangulations",1641657600,113,0
781,"Feynman Diagrams",1642273200,124,0
782,"Distinct Rows and Columns",1642888800,153,0
783,"Urns",1643504400,200,0
784,"Reciprocal Pairs",1644120000,391,0
785,"Symmetric Diophantine Equation",1644735600,195,0
786,"Billiard",1645351200,120,0
787,"Bézout's Game",1645880400,199,0
788,"Dominating Numbers",1646496000,1123,0
789,"Minimal Pairing Modulo $p$",1647111600,191,0
790,"Clock Grid",1647727200,259,0
791,"Average and Variance",1648342800,161,0
792,"Too Many Twos",1648958400,138,0
793,"Median of Products",1649574000,642,0
794,"Seventeen Points",1650189600,314,0
795,"Alternating GCD Sum",1650718800,349,0
796,"A Grand Shuffle",1651334400,200,0
797,"Cyclogenic Polynomials",1651950000,192,0
798,"Card Stacking Game",1652565600,122,0
799,"Pentagonal Puzzle",1653181200,231,0
800,"Hybrid Integers",1653796800,1806,0
801,"$x^y \equiv y^x$",1654412400,269,0
802,"Iterated Composition",1655028000,254,0
803,"Pseudorandom Sequence",1655557200,222,0
804,"Counting Binary Quadratic Representations",1656172800,639,0
805,"Shifted Multiples",1656788400,190,0
806,"Nim on Towers of Hanoi",1657404000,124,0
807,"Loops of Ropes",1662858000,130,0
808,"Reversible Prime Squares",1663473600,2375,0
809,"Rational Recurrence Relation ",1664089200,297,0
810,"XOR-Primes",1664704800,689,0
811,"Bitwise Recursion",1665234000,223,0
812,"Dynamical Polynomials",1665849600,128,0
813,"XOR-Powers",1666465200,535,0
814,"Mezzo-forte",1667080800,211,0
815,"Group by Value",1667696400,408,0
816,"Shortest Distance Among Points",1668312000,1886,0
817,"Digits in Squares",1668927600,441,0
818,"SET",1669543200,132,0
819,"Iterative Sampling",1670072400,220,0
820,"$N$<sup>th</sup> Digit of Reciprocals",1670688000,872,0
821,"123-Separable",1671303600,145,0
822,"Square the Smallest",1671919200,729,0
823,"Factor Shuffle",1672534800,191,0
824,"Chess Sliders",1673150400,115,0
825,"Chasing Game",1673766000,150,0
826,"Birds on a Wire",1674381600,233,0
827,"Pythagorean Triple Occurrence",1674910800,182,0
828,"Numbers Challenge",1675526400,597,0
829,"Integral Fusion",1676142000,204,0
830,"Binomials and Powers",1676757600,143,0
831,"Triple Product",1677373200,184,0
832,"Mex Sequence",1677988800,300,0
833,"Square Triangle Products",1678604400,164,0
834,"Add and Divide",1679220000,373,0
835,"Supernatural Triangles",1679749200,353,0
836,"A Bold Proposition",1680364800,2940,0
837,"Amidakuji",1680364800,202,0
838,"Not Coprime",1680980400,553,0
839,"Beans in Bowls",1681596000,341,0
840,"Sum of Products",1682211600,354,0
841,"Regular Star Polygons",1682827200,183,0
842,"Irregular Star Polygons",1683442800,124,0
843,"Periodic Circles",1684058400,123,0
844,"$k$-Markov Numbers",1684587600,203,0
845,"Prime Digit Sum",1685203200,655,0
846,"Magic Bracelets",1685818800,200,0
847,"Jack's Bean",1686434400,113,0
848,"Guessing with Sets",1687050000,189,0
849,"The Tournament",1687665600,244,0
850,"Fractions of Powers",1688281200,118,0
851,"SOP and POS",1688896800,134,0
852,"Coins in a Box",1693659600,210,0
853,"Pisano Periods 1",1694275200,978,0
854,"Pisano Periods 2",1694275200,310,0
855,"Delphi Paper",1694890800,140,0
856,"Waiting for a Pair",1695506400,497,0
857,"Beautiful Graphs",1696122000,147,0
858,"LCM",1696737600,199,0
859,"Cookie Game",1697353200,197,0
860,"Gold and Silver Coin Game",1697968800,357,0
861,"Products of Bi-Unitary Divisors",1698498000,184,0
862,"Larger Digit Permutation",1699113600,541,0
863,"Different Dice",1699729200,197,0
864,"Square + 1 = Squarefree",1700344800,142,0
865,"Triplicate Numbers",1700960400,247,0
866,"Tidying Up B",1701576000,333,0
867,"Tiling Dodecagon",1702191600,157,0
868,"Belfry Maths",1702807200,347,0
869,"Prime Guessing",1703336400,537,0
870,"Stone Game IV",1703952000,129,0
871,"Drifting Subsets",1704567600,282,0
872,"Recursive Tree",1705183200,487,0
873,"Words with Gaps",1705798800,240,0
874,"Maximal Prime Score",1706414400,359,0
875,"Quadruple Congruence",1707030000,169,0
876,"Triplet Tricks",1707645600,75,0
877,"XOR-Equation A",1708174800,274,0
878,"XOR-Equation B",1708174800,191,0
879,"Touch-screen Password",1708790400,298,0
880,"Nested Radicals",1709406000,92,0
881,"Divisor Graph Width",1710021600,317,0
882,"Removing Bits",1710637200,90,0
883,"Remarkable Triangles",1711252800,66,0
884,"Removing Cubes",1711868400,334,0
885,"Sorted Digits",1712484000,314,0
886,"Coprime Permutations",1713013200,126,0
